Province,Income Gap 2006,Income Gap 2009,Income Gap 2012,Income Gap 2015,Income Gap 2015 (FIES 2018 Adjusted),Income Gap 2018 (FIES 2018 Adjusted),Poverty Gap 2006,Poverty Gap 2009,Poverty Gap 2012,Poverty Gap 2015,Poverty Gap 2015 (FIES 2018 Adjusted),Poverty Gap 2018 (FIES 2018 Adjusted),Severity of Poverty 2006,Severity of Poverty 2009,Severity of Poverty 2012,Severity of Poverty 2015,Severity of Poverty 2015 (FIES 2018 Adjusted),Severity of Poverty 2018 (FIES 2018 Adjusted)
Bohol,33.6,28.7,24.5,25.7,28.8,18.1,13.5,10.5,7.5,5.6,7.3,2.8,6,4.3,2.6,2.1,2.9,0.8
Cebu,29.8,28.4,26.3,26.3,27.6,19.6,7.6,6.3,5,4.7,5.5,2.2,3.1,2.6,1.9,1.8,2.2,0.7
Negros Oriental,29.9,25.3,33,31.1,30.8,24.9,11.4,7.1,14.5,12,11.2,4.8,4.7,2.4,6.2,5,4.5,1.8
Siquijor ,33.9,21,25,25.7,26.2,18.6,8.7,5.7,6,12.6,12.3,1.3,3.5,1.6,2,4.3,4.2,0.4
Biliran,24,24,24.4,21.2,22.5,17,5.4,7.6,5.1,3.7,3.9,2.3,1.9,3,1.6,1.1,1.2,0.6
Eastern Samar,34.6,33.9,33.5,29.4,32.7,27.5,14.3,16.7,18.6,11,13.8,11.2,6.5,7.3,8.1,4.4,5.9,4.2
Leyte,28,24.8,23.8,22.6,23.4,21.8,9,7.4,7.5,5.3,5.9,4.7,3.6,2.6,2.6,1.7,1.9,1.5
Northern Samar,32.7,28,29.8,31.2,32.3,21.4,14.6,12,13,14.9,16.7,5.9,6.4,4.6,5.4,6,7,1.9
Southern Leyte,22.4,24.9,29.8,28,27.9,18.6,5.7,7.5,10.2,8.5,9.1,3.2,2,2.7,4,3.3,3.6,0.9
Samar,25.5,30.7,25.8,27.2,29.5,22,8.2,10.7,11.2,10.7,12.3,4.9,3,4.3,4,4.4,5.2,1.6
Zamboanga del Norte,41,38.8,34.6,29.2,30.7,27.5,24.7,23.4,16.6,12,15.6,10.1,12.9,11.6,7.6,4.9,6.7,3.8
Zamboanga del Sur,30.5,27.1,23.6,20.9,21.9,21,8.4,7.3,6.1,3.9,4.1,3.7,3.5,2.8,2.1,1.2,1.3,1.2
Zamboanga Sibugay,27.2,31,26,18.7,19.1,22.5,12.1,14.2,9.6,4.5,5.3,6.1,4.8,5.7,3.6,1.2,1.5,2
City of Isabela,31,13.7,22.1,14.7,18.8,23.4,10.5,2.9,3.4,2.7,4.2,9.8,4.3,0.7,1.1,0.6,1.1,3.2
Bukidnon,30,29.5,30.8,31.9,32.4,20,10.6,10.9,12.8,15,15.4,4.4,4.3,4.6,5.3,6.3,6.5,1.3
Camiguin ,24.6,17.4,30.2,23,27,18.9,7.7,3.5,12.4,6.9,9.1,3.4,2.8,0.9,5,2.4,3.4,0.9
Lanao del Norte,29.8,31,33.7,30.2,30.7,18.7,9.9,12.3,14,11,11.7,3.5,3.9,5.2,6.1,4.6,4.9,1
Misamis Occidental,29.6,29.7,26.2,22,24.3,19.2,11,11.2,8.9,6.6,8.9,3.7,4.5,4.4,3.1,2.3,3.2,1.1
Misamis Oriental,34.2,32.8,28,22.9,23.3,19,9.1,8.2,5.3,3.4,3.8,2.2,4.1,3.7,2.1,1.2,1.3,0.6
Davao del Norte,28.4,31.4,25.9,25.2,25.2,18.5,7.4,8.5,6.9,6.6,6.1,1.9,2.9,4.1,2.7,2.5,2.3,0.5
Davao del Sur,29.2,28.7,26.4,25.2,24.4,21.6,5.7,5.5,5.3,3,3.6,1.8,2.2,2.2,2,1.1,1.3,0.6
Davao Oriental,26.2,26.8,28.8,18.9,20.2,21.6,11.2,11.9,10.9,4,4.6,6,4.1,4.1,4.5,1.2,1.3,1.8
Compostela Valley,28.9,23.3,28.7,21.1,19.9,21.3,9,7.2,8.8,4.6,4.1,4,3.6,2.5,3.2,1.4,1.2,1.3
Cotabato,26.8,27.6,36.3,31.9,32.3,25.4,6.9,6.4,16.3,11,11.8,6,2.6,2.5,7.8,4.6,5.1,2.1
Saranggani,28,27.8,30.2,34.6,33.8,31.9,11.7,13.2,13.9,16.4,15.3,11.5,4.4,5.1,5.4,7.6,7,5.2
South Cotabato,27.8,29.8,29.7,27.7,27.2,23.7,7.3,7.7,7.6,5.5,5,3.3,2.8,3.2,3.2,2.1,1.9,1.2
Sultan Kudarat,28.5,24.9,26.1,37.4,37.3,26.9,12.6,10.4,10.5,14.7,15.4,6.5,4.8,3.6,3.9,7,7.4,2.5
Cotabato City ,28.1,26.6,23.9,22.3,24,22.7,7.7,7.9,8.3,5.5,9.3,8,3.2,2.8,2.7,1.7,3.2,2.6
Agusan del Norte,31.3,31.8,27,28,26.9,22.8,12.1,11.9,7.5,7.9,6.9,4.3,5.2,5.1,2.8,3,2.6,1.4
Agusan del Sur,35.5,36.4,31.4,28,28.1,22.9,16.4,19.6,11.7,10.4,10.5,7,7.8,9.3,5.1,4.1,4.2,2.4
Surigao del Norte,29.5,30.5,25.8,24.1,26.5,22.1,12.9,14.9,8.7,6.4,7.6,6.1,5.2,6.1,3.2,2.2,2.7,2
Surigao del Sur,30.2,29.6,23.8,24.9,25,22.1,11.5,13.1,6.7,8,8.1,4.2,4.6,5.1,2.3,2.8,2.9,1.3
Basilan,16.9,15.6,13.9,18.5,17.6,30.8,4.8,4.5,4.5,5.3,6.3,20.5,1.1,1,1,1.3,1.6,8.1
Lanao del Sur,24.2,27.1,35.8,30.2,32.2,30.3,9.3,13.2,24.1,20.1,23.3,19.5,3.1,4.7,10.8,7.7,9.5,7.8
Maguindanao,26.6,23.1,24.8,29.2,27.6,25.1,12.3,10,13.5,14.3,12.6,10.2,4.5,3.3,4.5,5.5,4.7,3.7
Sulu,18.2,15.7,19.6,17,20.9,27.4,6.4,5.6,7.9,8.4,13.3,20.6,1.8,1.3,2.3,2,3.7,7.4
Tawi-Tawi,27.6,19.4,19.2,10.6,11.7,15.8,13.8,5.7,4.2,1.1,1.8,2.4,4.6,1.5,1.4,0.2,0.3,0.6
